index,G_1_1,G_1_2,G_1_3,G_1_4,G_1_5,G_2_1,G_3_1,G_3_2,G_3_3,G_3_4,G_3_5,G_3_6,G_3_7,G_3_8,G_3_9,G_3_10,G_3_11,G_3_12,G_3_13,G_3_14,G_3_15,G_3_16,G_3_17,G_3_18,G_3_19,G_3_20,G_3_21,G_3_22,G_3_23,G_3_24,G_3_25,G_3_26,G_3_27,G_4_1,G_4_2,G_4_3,G_4_4,G_4_5,G_4_6,G_5_1,G_5_2,G_5_3
2023-08-26 00:00:00,1104,1056,-1,984,1104,936,1056,-1,1032,1068,1020,1152,-1,1080,1116,1152,1188,1164,1164,1272,1236,1212,1212,1260,1260,1392,1392,1332,1368,1392,1368,1296,1548,1176,-1,1152,1236,1236,1176,1728,1560,1728
2023-08-26 00:05:00,1164,1212,-1,1188,1392,936,1104,-1,1068,1116,1032,1200,-1,1332,1392,1272,1308,1368,1368,1416,1284,1368,1332,1236,1200,1116,1116,1080,1068,1116,1128,1080,1092,948,-1,912,972,936,984,1428,1524,1572
2023-08-26 00:10:00,996,996,-1,936,1260,816,912,-1,924,900,936,1008,-1,936,936,948,960,948,948,924,936,900,936,900,936,996,996,1068,1116,1080,1116,1080,972,912,-1,996,1128,1092,1104,1572,1584,1716
2023-08-26 00:15:00,1056,1020,-1,1032,1272,900,960,-1,936,936,984,1032,-1,1068,1092,1032,1092,1092,1092,1140,1080,1032,1044,1068,1044,1092,1092,984,1044,984,1020,996,1296,768,-1,792,804,828,792,1200,1140,1224
2023-08-26 00:20:00,1068,1056,-1,984,1116,816,996,-1,960,1008,960,1092,-1,1068,1080,1152,1104,1104,1104,1116,1140,1260,1284,1212,1188,1164,1164,1128,1152,1188,1164,1104,1272,924,-1,876,924,852,888,1332,1452,1440
2023-08-26 00:25:00,1044,1044,-1,996,1332,948,1020,-1,924,1032,1008,1140,-1,1152,1224,1152,1164,1128,1128,1104,1080,1104,1116,1056,1152,1128,1128,1044,1044,1044,1068,1092,1284,876,-1,768,804,756,756,1332,1344,1368
2023-08-26 00:30:00,804,900,-1,768,1032,660,756,-1,744,756,756,888,-1,888,912,912,924,936,936,1020,948,936,996,984,984,948,948,1032,1032,1020,1020,996,1188,948,-1,948,1020,984,1044,1548,1500,1512
2023-08-26 00:35:00,780,768,-1,732,960,612,744,-1,696,672,672,732,-1,696,720,708,696,708,708,756,696,720,768,780,804,828,828,840,864,840,888,864,960,768,-1,732,768,792,732,1164,1176,1260
2023-08-26 00:40:00,1020,924,-1,852,996,660,744,-1,780,840,744,912,-1,864,888,864,900,888,888,900,876,876,888,864,840,828,828,756,744,732,732,744,864,660,-1,552,576,576,564,1008,936,1020
2023-08-26 00:45:00,840,864,-1,768,864,660,720,-1,720,732,744,828,-1,900,852,864,816,852,852,864,840,840,816,804,804,804,804,876,912,924,936,864,936,804,-1,756,696,684,744,1356,1428,1356
2023-08-26 00:50:00,1128,1104,-1,1056,1416,1008,960,-1,924,960,852,948,-1,948,960,924,936,936,936,972,948,948,984,1044,936,900,900,900,912,900,900,840,924,804,-1,744,828,780,828,1572,1608,1692
2023-08-26 00:55:00,1176,1212,-1,1092,1176,876,1044,-1,948,1116,1044,1212,-1,1248,1260,1296,1332,1248,1248,1236,1176,1272,1236,1200,1212,1200,1200,1152,1152,1092,1104,1044,1140,840,-1,924,984,996,1008,1560,1500,1608
2023-08-26 01:00:00,924,984,-1,888,1176,792,900,-1,852,924,864,1032,-1,1080,1020,1068,1008,1056,1056,1068,1080,1128,1116,1128,1128,1104,1104,1116,1092,1164,1152,1140,1272,864,-1,804,768,744,780,1440,1524,1620
2023-08-26 01:05:00,1044,1044,-1,960,1236,912,960,-1,912,960,924,1032,-1,1032,1056,972,996,1068,1068,1104,1056,1092,1104,1044,1104,1056,1056,1068,1020,1008,1080,936,1068,744,-1,768,768,780,792,1428,1404,1428
2023-08-26 01:10:00,888,864,-1,804,1104,780,792,-1,816,780,696,780,-1,696,648,708,684,720,720,708,696,720,732,708,744,744,744,732,792,792,828,912,1056,744,-1,816,864,864,852,1608,1512,1668
2023-08-26 01:15:00,768,780,-1,684,828,672,768,-1,672,696,720,876,-1,960,972,960,984,984,984,984,972,996,1020,1032,960,936,936,984,984,996,996,972,1068,792,-1,804,864,840,816,1608,1632,1716
2023-08-26 01:20:00,792,852,-1,744,972,708,720,-1,732,720,648,732,-1,732,708,732,756,768,768,744,732,684,684,732,744,684,684,624,696,720,720,708,840,528,-1,540,576,504,492,1356,1368,1392
