,up1,up2
2023-08-26 00:00:00,120,552
2023-08-26 00:05:00,168,444
2023-08-26 00:10:00,96,468
2023-08-26 00:15:00,60,408
2023-08-26 00:20:00,180,444
2023-08-26 00:25:00,72,576
2023-08-26 00:30:00,96,504
2023-08-26 00:35:00,132,432
2023-08-26 00:40:00,84,444
2023-08-26 00:45:00,60,612
2023-08-26 00:50:00,0,744
2023-08-26 00:55:00,168,552
2023-08-26 01:00:00,108,660
2023-08-26 01:05:00,48,636
2023-08-26 01:10:00,12,756
2023-08-26 01:15:00,96,792
2023-08-26 01:20:00,12,864
2023-08-26 01:25:00,96,768
2023-08-26 01:30:00,108,792
2023-08-26 01:35:00,0,480
2023-08-26 01:40:00,48,576
2023-08-26 01:45:00,0,720
2023-08-26 01:50:00,72,600
2023-08-26 01:55:00,48,408
2023-08-26 02:00:00,0,492
2023-08-26 02:05:00,36,768
2023-08-26 02:10:00,36,480
2023-08-26 02:15:00,12,504
2023-08-26 02:20:00,36,288
2023-08-26 02:25:00,72,252
2023-08-26 02:30:00,24,468
2023-08-26 02:35:00,0,420
2023-08-26 02:40:00,0,456
2023-08-26 02:45:00,36,384
2023-08-26 02:50:00,0,480
2023-08-26 02:55:00,24,360
2023-08-26 03:00:00,60,396
2023-08-26 03:05:00,0,372
2023-08-26 03:10:00,36,276
2023-08-26 03:15:00,60,288
2023-08-26 03:20:00,24,216
2023-08-26 03:25:00,24,156
2023-08-26 03:30:00,48,144
2023-08-26 03:35:00,0,48
2023-08-26 03:40:00,24,84
2023-08-26 03:45:00,0,156
2023-08-26 03:50:00,24,228
2023-08-26 03:55:00,24,168
2023-08-26 04:00:00,72,276
2023-08-26 04:05:00,0,360
2023-08-26 04:10:00,60,120
2023-08-26 04:15:00,24,300
2023-08-26 04:20:00,96,228
2023-08-26 04:25:00,48,408
2023-08-26 04:30:00,96,252
2023-08-26 04:35:00,12,336
2023-08-26 04:40:00,84,240
2023-08-26 04:45:00,84,372
2023-08-26 04:50:00,24,348
2023-08-26 04:55:00,36,264
2023-08-26 05:00:00,36,456
2023-08-26 05:05:00,156,372
2023-08-26 05:10:00,120,408
2023-08-26 05:15:00,48,480
2023-08-26 05:20:00,24,480
2023-08-26 05:25:00,120,228
2023-08-26 05:30:00,252,384
2023-08-26 05:35:00,228,384
2023-08-26 05:40:00,144,624
2023-08-26 05:45:00,48,228
2023-08-26 05:50:00,132,384
2023-08-26 05:55:00,180,396
2023-08-26 06:00:00,36,420
2023-08-26 06:05:00,144,456
2023-08-26 06:10:00,84,504
2023-08-26 06:15:00,240,204
2023-08-26 06:20:00,48,396
2023-08-26 06:25:00,156,228
2023-08-26 06:30:00,216,492
2023-08-26 06:35:00,372,480
2023-08-26 06:40:00,204,444
2023-08-26 06:45:00,300,336
2023-08-26 06:50:00,96,228
2023-08-26 06:55:00,300,360
2023-08-26 07:00:00,180,396
2023-08-26 07:05:00,132,516
2023-08-26 07:10:00,444,168
2023-08-26 07:15:00,216,312
2023-08-26 07:20:00,108,384
2023-08-26 07:25:00,60,312
2023-08-26 07:30:00,504,336
2023-08-26 07:35:00,336,240
2023-08-26 07:40:00,204,264
2023-08-26 07:45:00,372,372
2023-08-26 07:50:00,72,192
2023-08-26 07:55:00,252,504
2023-08-26 08:00:00,84,432
2023-08-26 08:05:00,48,300
2023-08-26 08:10:00,264,444
2023-08-26 08:15:00,252,360
2023-08-26 08:20:00,324,276
2023-08-26 08:25:00,564,132
2023-08-26 08:30:00,108,312
2023-08-26 08:35:00,300,444
2023-08-26 08:40:00,228,252
2023-08-26 08:45:00,36,288
2023-08-26 08:50:00,540,168
2023-08-26 08:55:00,120,0
2023-08-26 09:00:00,360,216
2023-08-26 09:05:00,48,0
2023-08-26 09:10:00,180,396
2023-08-26 09:15:00,96,60
2023-08-26 09:20:00,132,648
2023-08-26 09:25:00,264,192
2023-08-26 09:30:00,324,288
2023-08-26 09:35:00,252,504
2023-08-26 09:40:00,144,516
2023-08-26 09:45:00,360,528
2023-08-26 09:50:00,144,336
2023-08-26 09:55:00,228,480
2023-08-26 10:00:00,348,432
2023-08-26 10:05:00,264,624
2023-08-26 10:10:00,168,504
2023-08-26 10:15:00,156,612
2023-08-26 10:20:00,240,444
2023-08-26 10:25:00,168,672
2023-08-26 10:30:00,372,480
2023-08-26 10:35:00,0,444
2023-08-26 10:40:00,324,756
2023-08-26 10:45:00,48,264
2023-08-26 10:50:00,264,636
2023-08-26 10:55:00,156,456
2023-08-26 11:00:00,456,912
2023-08-26 11:05:00,456,396
2023-08-26 11:10:00,156,396
2023-08-26 11:15:00,156,276
2023-08-26 11:20:00,240,708
2023-08-26 11:25:00,156,216
2023-08-26 11:30:00,240,588
2023-08-26 11:35:00,168,300
2023-08-26 11:40:00,204,564
2023-08-26 11:45:00,396,456
2023-08-26 11:50:00,276,336
2023-08-26 11:55:00,216,492
2023-08-26 12:00:00,228,528
2023-08-26 12:05:00,228,504
2023-08-26 12:10:00,324,552
2023-08-26 12:15:00,120,252
2023-08-26 12:20:00,420,372
2023-08-26 12:25:00,312,516
2023-08-26 12:30:00,384,420
2023-08-26 12:35:00,168,336
2023-08-26 12:40:00,312,144
2023-08-26 12:45:00,348,552
2023-08-26 12:50:00,300,48
2023-08-26 12:55:00,144,336
2023-08-26 13:00:00,336,0
2023-08-26 13:05:00,24,792
2023-08-26 13:10:00,276,552
2023-08-26 13:15:00,372,348
2023-08-26 13:20:00,432,492
2023-08-26 13:25:00,240,336
2023-08-26 13:30:00,540,840
2023-08-26 13:35:00,108,300
2023-08-26 13:40:00,504,456
2023-08-26 13:45:00,48,504
2023-08-26 13:50:00,324,684
2023-08-26 13:55:00,288,456
2023-08-26 14:00:00,360,456
2023-08-26 14:05:00,348,384
2023-08-26 14:10:00,384,12
2023-08-26 14:15:00,132,408
2023-08-26 14:20:00,264,540
2023-08-26 14:25:00,0,444
2023-08-26 14:30:00,0,360
2023-08-26 14:35:00,468,516
2023-08-26 14:40:00,204,432
2023-08-26 14:45:00,132,564
2023-08-26 14:50:00,108,468
2023-08-26 14:55:00,216,48
2023-08-26 15:00:00,204,600
2023-08-26 15:05:00,240,528
2023-08-26 15:10:00,192,420
2023-08-26 15:15:00,360,240
2023-08-26 15:20:00,228,468
2023-08-26 15:25:00,408,288
2023-08-26 15:30:00,180,0
2023-08-26 15:35:00,192,144
2023-08-26 15:40:00,48,12
2023-08-26 15:45:00,288,216
2023-08-26 15:50:00,228,0
2023-08-26 15:55:00,240,1176
2023-08-26 16:00:00,444,780
2023-08-26 16:05:00,252,444
2023-08-26 16:10:00,300,456
2023-08-26 16:15:00,204,504
2023-08-26 16:20:00,348,468
2023-08-26 16:25:00,144,552
2023-08-26 16:30:00,324,408
2023-08-26 16:35:00,276,624
2023-08-26 16:40:00,108,768
2023-08-26 16:45:00,204,504
2023-08-26 16:50:00,228,300
2023-08-26 16:55:00,96,0
2023-08-26 17:00:00,276,912
2023-08-26 17:05:00,348,0
2023-08-26 17:10:00,348,0
2023-08-26 17:15:00,300,0
2023-08-26 17:20:00,60,516
2023-08-26 17:25:00,156,336
2023-08-26 17:30:00,132,228
2023-08-26 17:35:00,276,1656
2023-08-26 17:40:00,60,528
2023-08-26 17:45:00,348,1392
2023-08-26 17:50:00,72,1152
2023-08-26 17:55:00,276,732
2023-08-26 18:00:00,228,1464
2023-08-26 18:05:00,360,756
2023-08-26 18:10:00,288,1368
2023-08-26 18:15:00,72,564
2023-08-26 18:20:00,156,600
2023-08-26 18:25:00,276,360
2023-08-26 18:30:00,276,600
2023-08-26 18:35:00,0,468
2023-08-26 18:40:00,348,432
2023-08-26 18:45:00,192,192
2023-08-26 18:50:00,0,276
